TypeInput	RA	DE	Plx	e_Plx	RV	e_RV	RVdist	pmRA	e_pmRA	pmDE	e_pmDE	Source
1	05 27 16.157	42 17 47.046	0.25712579	0.0240	0	0	0	-0.068	0.028	-0.170	0.019	195365594010029440
1	05 24 16.850	42 18 23.985	0.28059315	0.0219	0	0	0	0.160	0.025	-0.218	0.020	195052027036610048
1	05 21 08.064	43 04 32.745	0.28114515	0.0192	0	0	0	0.476	0.023	-0.550	0.016	207333812437636608
1	05 26 37.522	43 01 10.963	0.25281930	0.0176	0	0	0	0.138	0.024	0.311	0.017	195645832035222400
1	05 29 24.882	43 06 59.433	0.24000569	0.0188	0	0	0	0.288	0.021	-0.305	0.015	195474273863568000
1	05 23 27.211	42 23 29.735	0.26806213	0.0206	0	0	0	0.123	0.026	-0.207	0.019	195243097243949184
1	05 25 37.862	42 49 52.366	0.30466497	0.0182	0	0	0	-0.120	0.024	-0.166	0.017	195642705299109760
1	05 25 24.691	42 26 50.670	0.26805795	0.0184	0	0	0	11.085	0.024	-9.544	0.016	195057176701428480
1	05 26 58.662	42 53 32.916	0.27434067	0.0230	0	0	0	0.759	0.029	-1.274	0.021	195635283595558528
1	05 22 25.062	43 05 53.048	0.26030059	0.0211	0	0	0	0.228	0.024	-0.318	0.017	207322439364134528
1	05 24 36.131	42 44 39.203	0.26011216	0.0222	0	0	0	-0.206	0.028	-1.209	0.020	195266397444484480
1	05 23 50.104	43 39 23.864	0.26332361	0.0327	0	0	0	0.191	0.040	-1.390	0.029	207420841355399168
1	05 22 42.421	42 48 10.873	0.21333078	0.0365	0	0	0	0.614	0.045	-1.100	0.031	195290827218662400
1	05 31 10.708	43 24 41.429	0.27859098	0.0335	0	0	0	0.602	0.034	-1.000	0.027	195578246429701888
1	05 26 25.602	43 25 44.885	0.24596340	0.0265	0	0	0	0.678	0.033	0.690	0.025	195716299559795072
1	05 24 40.539	43 34 56.411	0.33140110	0.0349	0	0	0	0.902	0.037	-1.754	0.029	207370920954588800
1	05 21 15.970	42 47 44.682	0.22189071	0.0242	0	0	0	2.379	0.027	-0.312	0.021	195299619013533184
1	05 26 58.278	42 29 09.792	0.27218985	0.0219	0	0	0	0.993	0.025	-3.314	0.018	195421183767318528
1	05 23 43.096	42 13 06.886	0.32674934	0.0360	0	0	0	-0.065	0.042	-2.329	0.030	195049926796642432
1	05 22 13.485	43 23 46.163	0.32858482	0.0183	0	0	0	-0.398	0.022	-1.333	0.016	207341474659069184
