TypeInput	RA	DE	Plx	e_Plx	RV	e_RV	RVdist	pmRA	e_pmRA	pmDE	e_pmDE	Source
1	05 27 16.157	42 17 47.046	0.25712579	0.0240	0	0	0	-0.068	0.028	-0.170	0.019	195365594010029440
1	05 24 16.850	42 18 23.985	0.28059315	0.0219	0	0	0	0.160	0.025	-0.218	0.020	195052027036610048
1	05 21 08.064	43 04 32.745	0.28114515	0.0192	0	0	0	0.476	0.023	-0.550	0.016	207333812437636608
1	05 26 37.522	43 01 10.963	0.25281930	0.0176	0	0	0	0.138	0.024	0.311	0.017	195645832035222400
1	05 29 24.882	43 06 59.433	0.24000569	0.0188	0	0	0	0.288	0.021	-0.305	0.015	195474273863568000
1	05 24 00.710	42 25 08.388	0.38202042	0.0213	0	0	0	0.857	0.028	-2.544	0.020	195241619775197824
1	05 23 27.211	42 23 29.735	0.26806213	0.0206	0	0	0	0.123	0.026	-0.207	0.019	195243097243949184
1	05 22 36.398	42 24 04.222	0.38906178	0.0163	0	0	0	-0.239	0.020	-1.693	0.017	195232003349318144
1	05 25 37.862	42 49 52.366	0.30466497	0.0182	0	0	0	-0.120	0.024	-0.166	0.017	195642705299109760
1	05 30 28.061	42 51 15.537	0.39622315	0.0220	0	0	0	1.461	0.024	-1.021	0.019	195411395540774016
1	05 22 59.615	42 26 32.912	0.39306071	0.0172	0	0	0	0.769	0.020	-1.250	0.016	195255952080715392
1	05 30 42.359	42 50 19.491	0.36469129	0.0351	0	0	0	-0.439	0.041	-0.504	0.032	195411842217360000
1	05 26 01.286	42 15 29.521	0.35804803	0.0585	0	0	0	2.623	0.071	-3.551	0.054	195414350478891648
1	05 25 24.691	42 26 50.670	0.26805795	0.0184	0	0	0	11.085	0.024	-9.544	0.016	195057176701428480
1	05 26 58.662	42 53 32.916	0.27434067	0.0230	0	0	0	0.759	0.029	-1.274	0.021	195635283595558528
1	05 28 28.843	43 26 20.730	0.35943556	0.0195	0	0	0	1.431	0.023	-2.381	0.018	195684005703896320
1	05 23 09.797	43 03 00.415	0.36063719	0.0186	0	0	0	1.776	0.022	-2.514	0.017	195332265062896128
1	05 25 04.567	42 25 09.088	0.35158424	0.0543	0	0	0	0.106	0.063	-0.163	0.048	195058555386811136
1	05 22 25.062	43 05 53.048	0.26030059	0.0211	0	0	0	0.228	0.024	-0.318	0.017	207322439364134528
1	05 24 36.131	42 44 39.203	0.26011216	0.0222	0	0	0	-0.206	0.028	-1.209	0.020	195266397444484480
